sepal_length,sepal_width,petal_length, petal_width,class
-0.293857369,-0.124540379,0.420156854,0.394849102,iris_versicolor
-1.139200483,0.106089953,-1.280118186,-1.439626813,iris_setosa
-0.414620671,-1.047061707,0.36348102,0.00174712,iris_versicolor
-0.535383973,1.489871945,-1.280118186,-1.308592819,iris_setosa
0.551485746,0.567350617,0.533508524,0.525883096,iris_versicolor
-0.293857369,-0.816431375,0.25012935,0.132781114,iris_versicolor
0.913775653,-0.124540379,0.36348102,0.263815108,iris_versicolor
-1.018437181,1.028611281,-1.393469855,-1.177558826,iris_setosa
-0.897673879,1.720502277,-1.223442351,-1.308592819,iris_setosa
-1.018437181,1.028611281,-1.223442351,-0.784456844,iris_setosa
-1.018437181,0.567350617,-1.33679402,-1.308592819,iris_setosa
1.155302257,-0.585801043,0.590184358,0.263815108,iris_versicolor
-0.414620671,-1.508322372,-0.033249823,-0.260320868,iris_versicolor
-1.018437181,-2.4308437,-0.146601492,-0.260320868,iris_versicolor
0.551485746,0.567350617,1.270294374,1.705189041,iris_virginica
-0.173094066,3.104284269,-1.280118186,-1.046524832,iris_setosa
2.242171976,1.720502277,1.667025217,1.312087059,iris_virginica
0.18919584,-0.355170711,0.420156854,0.394849102,iris_versicolor
-0.052330764,2.181762941,-1.45014569,-1.308592819,iris_setosa
2.242171976,-0.124540379,1.326970209,1.443121053,iris_virginica
1.276065559,0.336720285,1.10026687,1.443121053,iris_virginica
2.242171976,-1.047061707,1.780376886,1.443121053,iris_virginica
0.309959142,-0.124540379,0.646860193,0.787951084,iris_virginica
-1.863780296,-0.124540379,-1.506821524,-1.439626813,iris_setosa
-1.139200483,-0.124540379,-1.33679402,-1.308592819,iris_setosa
-0.293857369,-1.27769204,0.080101846,-0.129286874,iris_versicolor
-1.380727088,0.336720285,-1.393469855,-1.308592819,iris_setosa
-0.414620671,-1.27769204,0.136777681,0.132781114,iris_versicolor
1.034538955,0.106089953,0.36348102,0.263815108,iris_versicolor
0.793012351,-0.124540379,0.816887697,1.050019071,iris_virginica
0.551485746,0.797980949,1.043591036,1.574155047,iris_virginica
-0.173094066,-0.585801043,0.420156854,0.132781114,iris_versicolor
-1.743016994,0.336720285,-1.393469855,-1.308592819,iris_setosa
-0.414620671,-1.508322372,0.023426012,-0.129286874,iris_versicolor
2.242171976,-0.585801043,1.667025217,1.050019071,iris_virginica
0.793012351,-0.124540379,0.986915201,0.787951084,iris_virginica
-0.293857369,-0.124540379,0.193453516,0.132781114,iris_versicolor
-0.173094066,1.720502277,-1.166766516,-1.177558826,iris_setosa
-1.259963786,0.106089953,-1.223442351,-1.308592819,iris_setosa
0.551485746,-0.816431375,0.646860193,0.787951084,iris_virginica
0.913775653,-0.355170711,0.476832689,0.132781114,iris_versicolor
-0.535383973,1.951132609,-1.166766516,-1.046524832,iris_setosa
1.034538955,-1.27769204,1.156942705,0.787951084,iris_virginica
-1.139200483,0.106089953,-1.280118186,-1.439626813,iris_setosa
0.672249049,0.336720285,0.873563532,1.443121053,iris_virginica
-0.052330764,-0.816431375,0.760211862,0.918985077,iris_virginica
-0.776910577,2.412393273,-1.280118186,-1.439626813,iris_setosa
1.276065559,0.106089953,0.930239366,1.181053065,iris_virginica
-1.380727088,0.336720285,-1.223442351,-1.308592819,iris_setosa
-0.535383973,0.797980949,-1.166766516,-1.308592819,iris_setosa
-0.052330764,-0.816431375,0.080101846,0.00174712,iris_versicolor
1.276065559,0.106089953,0.646860193,0.394849102,iris_versicolor
0.551485746,-0.355170711,1.043591036,0.787951084,iris_virginica
1.034538955,-0.124540379,0.816887697,1.443121053,iris_virginica
1.155302257,-0.124540379,0.986915201,1.181053065,iris_virginica
-0.173094066,-1.047061707,-0.146601492,-0.260320868,iris_versicolor
0.18919584,-0.816431375,0.760211862,0.525883096,iris_versicolor
-1.259963786,0.797980949,-1.053414847,-1.308592819,iris_setosa
1.87988207,-0.585801043,1.326970209,0.918985077,iris_virginica
1.638355466,-0.124540379,1.156942705,0.525883096,iris_virginica
-0.656147275,1.489871945,-1.280118186,-1.308592819,iris_setosa
0.18919584,-0.124540379,0.590184358,0.787951084,iris_virginica
-0.052330764,-0.816431375,0.193453516,-0.260320868,iris_versicolor
-1.018437181,0.797980949,-1.223442351,-1.046524832,iris_setosa
-0.897673879,0.567350617,-1.166766516,-0.915490838,iris_setosa
0.309959142,-0.585801043,0.533508524,0.00174712,iris_versicolor
1.034538955,0.567350617,1.10026687,1.181053065,iris_virginica
-1.259963786,-0.124540379,-1.33679402,-1.177558826,iris_setosa
-0.414620671,-1.738952704,0.136777681,0.132781114,iris_versicolor
-0.776910577,0.797980949,-1.33679402,-1.308592819,iris_setosa
0.551485746,-0.585801043,0.760211862,0.394849102,iris_virginica
-1.50149039,0.336720285,-1.33679402,-1.308592819,iris_setosa
-0.776910577,-0.816431375,0.080101846,0.263815108,iris_versicolor
-0.897673879,1.028611281,-1.33679402,-1.308592819,iris_setosa
-1.139200483,0.106089953,-1.280118186,-1.439626813,iris_setosa
-0.535383973,0.797980949,-1.280118186,-1.046524832,iris_setosa
0.18919584,-1.969583036,0.703536028,0.394849102,iris_virginica
-0.052330764,-1.047061707,0.136777681,0.00174712,iris_versicolor
1.759118768,-0.355170711,1.440321878,0.787951084,iris_virginica
0.430722444,-0.585801043,0.590184358,0.787951084,iris_virginica
0.672249049,-0.355170711,0.306805185,0.132781114,iris_versicolor
-0.052330764,-0.816431375,0.760211862,0.918985077,iris_virginica
0.430722444,-0.355170711,0.306805185,0.132781114,iris_versicolor
1.034538955,-0.124540379,0.703536028,0.65691709,iris_versicolor
-0.897673879,1.489871945,-1.280118186,-1.046524832,iris_setosa
2.483698581,1.720502277,1.496997713,1.050019071,iris_virginica
0.309959142,-0.585801043,0.136777681,0.132781114,iris_versicolor
-0.173094066,-0.124540379,0.25012935,0.00174712,iris_versicolor
0.551485746,-1.27769204,0.703536028,0.918985077,iris_virginica
-1.743016994,-0.124540379,-1.393469855,-1.308592819,iris_setosa
-0.535383973,-0.124540379,0.420156854,0.394849102,iris_versicolor
0.551485746,-1.738952704,0.36348102,0.132781114,iris_versicolor
-1.622253692,-1.738952704,-1.393469855,-1.177558826,iris_setosa
0.793012351,0.336720285,0.760211862,1.050019071,iris_virginica
-1.259963786,-0.124540379,-1.33679402,-1.439626813,iris_setosa
-1.259963786,0.797980949,-1.223442351,-1.308592819,iris_setosa
1.034538955,0.567350617,1.10026687,1.705189041,iris_virginica
0.068432538,-0.124540379,0.760211862,0.787951084,iris_virginica
-1.139200483,-1.508322372,-0.259953162,-0.260320868,iris_versicolor
0.672249049,0.336720285,0.420156854,0.394849102,iris_versicolor
1.276065559,0.106089953,0.760211862,1.443121053,iris_virginica
0.672249049,-0.585801043,1.043591036,1.312087059,iris_virginica
-1.018437181,0.797980949,-1.280118186,-1.308592819,iris_setosa
0.430722444,0.797980949,0.930239366,1.443121053,iris_virginica
0.430722444,-1.969583036,0.420156854,0.394849102,iris_versicolor
-0.897673879,0.797980949,-1.280118186,-1.308592819,iris_setosa
-0.173094066,-0.355170711,0.25012935,0.132781114,iris_versicolor
0.793012351,-0.124540379,1.156942705,1.312087059,iris_virginica
0.551485746,-1.27769204,0.646860193,0.394849102,iris_versicolor
0.672249049,0.106089953,0.986915201,0.787951084,iris_virginica
-0.897673879,1.720502277,-1.053414847,-1.046524832,iris_setosa
0.18919584,-1.969583036,0.136777681,-0.260320868,iris_versicolor
-0.173094066,-0.585801043,0.193453516,0.132781114,iris_versicolor
0.309959142,-0.355170711,0.533508524,0.263815108,iris_versicolor
-1.50149039,0.106089953,-1.280118186,-1.308592819,iris_setosa
1.034538955,0.106089953,1.043591036,1.574155047,iris_virginica
-1.139200483,-1.27769204,0.420156854,0.65691709,iris_virginica
-1.50149039,1.259241613,-1.563497359,-1.308592819,iris_setosa
1.396828861,0.336720285,0.533508524,0.263815108,iris_versicolor
